symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-03-07 00:00:00+00:00,175.03,175.85,174.27,174.94,31703462,41.7746637185,41.9703743067,41.5932734173,41.7531832881,126813848,0.0,1.0
AAPL,2018-03-08 00:00:00+00:00,176.94,177.12,175.07,175.48,23163767,42.2305261861,42.2734870469,41.7842105765,41.8820658706,92655068,0.0,1.0
AAPL,2018-03-09 00:00:00+00:00,179.98,180.0,177.39,177.96,31385134,42.9560873911,42.9608608201,42.3379283382,42.4739710641,125540536,0.0,1.0
AAPL,2018-03-12 00:00:00+00:00,181.72,182.39,180.21,180.29,32055405,43.3713757123,43.5312855832,43.0109818244,43.0300755403,128221620,0.0,1.0
AAPL,2018-03-13 00:00:00+00:00,179.97,183.5,179.24,182.59,31168404,42.9537006766,43.7962108916,42.7794705188,43.579019873,124673616,0.0,1.0
AAPL,2018-03-14 00:00:00+00:00,178.44,180.52,177.81,180.32,29075469,42.5885333596,43.0849699735,42.4381703468,43.0372356837,116301876,0.0,1.0
AAPL,2018-03-15 00:00:00+00:00,178.65,180.24,178.07,178.5,22584565,42.6386543639,43.0181419678,42.5002249235,42.6028536466,90338260,0.0,1.0
AAPL,2018-03-16 00:00:00+00:00,178.02,179.12,177.62,178.65,36836456,42.488291351,42.7508299449,42.3928227714,42.6386543639,147345824,0.0,1.0
AAPL,2018-03-19 00:00:00+00:00,175.3,177.47,173.66,177.32,32804695,41.8391050098,42.3570220541,41.4476838334,42.3212213367,131218780,0.0,1.0
AAPL,2018-03-20 00:00:00+00:00,175.24,176.8,174.94,175.24,19314039,41.8247847228,42.1971121833,41.7531832881,41.8247847228,77256156,0.0,1.0
AAPL,2018-03-21 00:00:00+00:00,171.27,175.09,171.26,175.04,35247358,40.8772590703,41.7889840055,40.8748723558,41.777050433,140989432,0.0,1.0
AAPL,2018-03-22 00:00:00+00:00,168.85,172.68,168.6,170.0,41051076,40.2996741637,41.2137858134,40.2400063015,40.5741463301,164204304,0.0,1.0
AAPL,2018-03-23 00:00:00+00:00,164.94,169.92,164.94,168.39,40248954,39.3664687981,40.5550526141,39.3664687981,40.1898852972,160995816,0.0,1.0
AAPL,2018-03-26 00:00:00+00:00,172.77,173.1,166.44,168.07,36272617,41.2352662438,41.314027822,39.7244759716,40.1135104335,145090468,0.0,1.0
AAPL,2018-03-27 00:00:00+00:00,168.34,175.15,166.92,173.68,38962839,40.1779517247,41.8033042924,39.8390382671,41.4524572624,155851356,0.0,1.0
AAPL,2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545,39.7340228296,40.578919759,39.4261366604,39.9177998453,166674180,0.0,1.0
AAPL,2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.81,38398505,40.0442957133,40.9918213658,39.8342648382,40.0514558568,153594020,0.0,1.0
AAPL,2018-04-02 00:00:00+00:00,166.68,168.94,164.47,166.64,37586791,39.7817571194,40.3211545941,39.2542932171,39.7722102614,150347164,0.0,1.0
AAPL,2018-04-03 00:00:00+00:00,168.39,168.75,164.88,167.64,30278046,40.1898852972,40.2758070188,39.3521485112,40.0108817104,121112184,0.0,1.0
AAPL,2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489,40.958407363,41.0538759426,39.3258946518,39.3521485112,138421956,0.0,1.0
AAPL,2018-04-05 00:00:00+00:00,172.8,174.23,172.08,172.58,26933197,41.2424263873,41.5837265593,41.070582944,41.1899186685,107732788,0.0,1.0
AAPL,2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290,40.1874985827,41.1660515236,40.1445377219,40.8056576356,140021160,0.0,1.0
AAPL,2018-04-09 00:00:00+00:00,170.05,173.09,169.85,169.88,29017718,40.5860799025,41.3116411075,40.5383456127,40.5455057562,116070872,0.0,1.0
AAPL,2018-04-10 00:00:00+00:00,173.25,174.0,171.53,173.0,28614241,41.3498285393,41.5288321261,40.939313647,41.2901606771,114456964,0.0,1.0
AAPL,2018-04-11 00:00:00+00:00,172.44,173.92,171.7,172.23,22431640,41.1565046656,41.5097384101,40.9798877934,41.1063836613,89726560,0.0,1.0
AAPL,2018-04-12 00:00:00+00:00,174.14,175.0,173.04,173.41,22889285,41.5622461289,41.7675035751,41.299707535,41.3880159712,91557140,0.0,1.0
AAPL,2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255,41.7030622838,41.9679875922,41.4930314087,41.7149958563,100497020,0.0,1.0
